model,class,metric,value
centerpoint_0075voxel,trailer,vel_err,0.24178445867684614
centerpoint_0075voxel,trailer,attr_err,0.09428241801267134
centerpoint_0075voxel,construction_vehicle,AP_dist_0.5,0.014774682223136708
centerpoint_0075voxel,construction_vehicle,AP_dist_1.0,0.0907624720320518
centerpoint_0075voxel,construction_vehicle,AP_dist_2.0,0.2011447517202673
centerpoint_0075voxel,construction_vehicle,AP_dist_4.0,0.2773339445219635
centerpoint_0075voxel,construction_vehicle,trans_err,0.71534834156902
centerpoint_0075voxel,construction_vehicle,scale_err,0.41536263540541535
centerpoint_0075voxel,construction_vehicle,orient_err,0.7970261281211493
centerpoint_0075voxel,construction_vehicle,vel_err,0.1336434224546237
centerpoint_0075voxel,construction_vehicle,attr_err,0.3153290481442536
centerpoint_0075voxel,pedestrian,AP_dist_0.5,0.812570155111904
centerpoint_0075voxel,pedestrian,AP_dist_1.0,0.8293026976365926
centerpoint_0075voxel,pedestrian,AP_dist_2.0,0.8452755169841533
centerpoint_0075voxel,pedestrian,AP_dist_4.0,0.8594493683361912
centerpoint_0075voxel,pedestrian,trans_err,0.14728537156801166
centerpoint_0075voxel,pedestrian,scale_err,0.2751689313112371
centerpoint_0075voxel,pedestrian,orient_err,0.40292399182775807
centerpoint_0075voxel,pedestrian,vel_err,0.2323567827316676
centerpoint_0075voxel,pedestrian,attr_err,0.09472209011347044
centerpoint_0075voxel,motorcycle,AP_dist_0.5,0.49366304025024477
centerpoint_0075voxel,motorcycle,AP_dist_1.0,0.5641989803083785
centerpoint_0075voxel,motorcycle,AP_dist_2.0,0.5732438390842733
centerpoint_0075voxel,motorcycle,AP_dist_4.0,0.5792744622606029
centerpoint_0075voxel,motorcycle,trans_err,0.19680238070688627
centerpoint_0075voxel,motorcycle,scale_err,0.24345424695166784
centerpoint_0075voxel,motorcycle,orient_err,0.22731026023306675
centerpoint_0075voxel,motorcycle,vel_err,0.4729405179354769
centerpoint_0075voxel,motorcycle,attr_err,0.26248347984230436
centerpoint_0075voxel,bicycle,AP_dist_0.5,0.3510680747451771
centerpoint_0075voxel,bicycle,AP_dist_1.0,0.36006008811408574
centerpoint_0075voxel,bicycle,AP_dist_2.0,0.3607330450899555
centerpoint_0075voxel,bicycle,AP_dist_4.0,0.3625547271053571
centerpoint_0075voxel,bicycle,trans_err,0.15397806282999862
centerpoint_0075voxel,bicycle,scale_err,0.2738393565837667
centerpoint_0075voxel,bicycle,orient_err,0.4320046194624975
centerpoint_0075voxel,bicycle,vel_err,0.20876111515496693
centerpoint_0075voxel,bicycle,attr_err,0.01837114786370548
centerpoint_0075voxel,traffic_cone,AP_dist_0.5,0.6416420543375186
centerpoint_0075voxel,traffic_cone,AP_dist_1.0,0.6575341836750705
centerpoint_0075voxel,traffic_cone,AP_dist_2.0,0.6761815508052704
centerpoint_0075voxel,traffic_cone,AP_dist_4.0,0.7078442292478424
centerpoint_0075voxel,traffic_cone,trans_err,0.14047842487866619
centerpoint_0075voxel,traffic_cone,scale_err,0.32862017387380354
centerpoint_0075voxel,traffic_cone,orient_err,
centerpoint_0075voxel,traffic_cone,vel_err,
centerpoint_0075voxel,traffic_cone,attr_err,
centerpoint_0075voxel,barrier,AP_dist_0.5,0.5900014823679521
centerpoint_0075voxel,barrier,AP_dist_1.0,0.6874599643846472
centerpoint_0075voxel,barrier,AP_dist_2.0,0.7140337370462793
centerpoint_0075voxel,barrier,AP_dist_4.0,0.7292072058708741
centerpoint_0075voxel,barrier,trans_err,0.21002257775062738
centerpoint_0075voxel,barrier,scale_err,0.27418163577645777
centerpoint_0075voxel,barrier,orient_err,0.06553635999969054
centerpoint_0075voxel,barrier,vel_err,
centerpoint_0075voxel,barrier,attr_err,
centerpoint_01voxel,car,AP_dist_0.5,0.7434733668087329
centerpoint_01voxel,car,AP_dist_1.0,0.8524584022520277
centerpoint_01voxel,car,AP_dist_2.0,0.8847378417013861
centerpoint_01voxel,car,AP_dist_4.0,0.8980370486000565
centerpoint_01voxel,car,trans_err,0.18580389850770965
centerpoint_01voxel,car,scale_err,0.15229739941082665
centerpoint_01voxel,car,orient_err,0.11373832092766137
centerpoint_01voxel,car,vel_err,0.30355754354103653
centerpoint_01voxel,car,attr_err,0.1940252285595424
centerpoint_01voxel,truck,AP_dist_0.5,0.3549004484209305
centerpoint_01voxel,truck,AP_dist_1.0,0.507530754784063
centerpoint_01voxel,truck,AP_dist_2.0,0.595381595709507
centerpoint_01voxel,truck,AP_dist_4.0,0.6359321016292034
centerpoint_01voxel,truck,trans_err,0.3250281666223143
centerpoint_01voxel,truck,scale_err,0.1854839242989496
centerpoint_01voxel,truck,orient_err,0.12761043868923325
centerpoint_01voxel,truck,vel_err,0.28138223159861825
centerpoint_01voxel,truck,attr_err,0.23843779439276186
centerpoint_01voxel,bus,AP_dist_0.5,0.40980414925747494
centerpoint_01voxel,bus,AP_dist_1.0,0.6576505782047448
centerpoint_01voxel,bus,AP_dist_2.0,0.7821428896215793
centerpoint_01voxel,bus,AP_dist_4.0,0.8089897968153817
centerpoint_01voxel,bus,trans_err,0.3522102349883548
centerpoint_01voxel,bus,scale_err,0.18099265688001193
centerpoint_01voxel,bus,orient_err,0.0587574039290197
centerpoint_01voxel,bus,vel_err,0.5322444659385436
centerpoint_01voxel,bus,attr_err,0.2679120342221852
centerpoint_01voxel,trailer,AP_dist_0.5,0.09930626162512478
centerpoint_01voxel,trailer,AP_dist_1.0,0.3221458365015366
centerpoint_01voxel,trailer,AP_dist_2.0,0.468089665052481
centerpoint_01voxel,trailer,AP_dist_4.0,0.554959462236506
centerpoint_01voxel,trailer,trans_err,0.5482376102855794
centerpoint_01voxel,trailer,scale_err,0.20647153350748423
centerpoint_01voxel,trailer,orient_err,0.4483276474201139
centerpoint_01voxel,trailer,vel_err,0.19696431402575187
centerpoint_01voxel,trailer,attr_err,0.16542131952083247
centerpoint_01voxel,construction_vehicle,AP_dist_0.5,0.026450313536212456
centerpoint_01voxel,construction_vehicle,AP_dist_1.0,0.10987657126678486
centerpoint_01voxel,construction_vehicle,AP_dist_2.0,0.20147263744154142
centerpoint_01voxel,construction_vehicle,AP_dist_4.0,0.30093894324351633
centerpoint_01voxel,construction_vehicle,trans_err,0.6236496292256504
centerpoint_01voxel,construction_vehicle,scale_err,0.4146304328891518
centerpoint_01voxel,construction_vehicle,orient_err,0.8435682742525211
centerpoint_01voxel,construction_vehicle,vel_err,0.12043829948015473
centerpoint_01voxel,construction_vehicle,attr_err,0.33336697866142784
centerpoint_01voxel,pedestrian,AP_dist_0.5,0.7956195261727809
centerpoint_01voxel,pedestrian,AP_dist_1.0,0.8204637404638916
centerpoint_01voxel,pedestrian,AP_dist_2.0,0.8380942475500992
centerpoint_01voxel,pedestrian,AP_dist_4.0,0.8529807404974575
centerpoint_01voxel,pedestrian,trans_err,0.16575387836493777
centerpoint_01voxel,pedestrian,scale_err,0.2767705538636757
centerpoint_01voxel,pedestrian,orient_err,0.40992407128695924
centerpoint_01voxel,pedestrian,vel_err,0.24405551755881125
centerpoint_01voxel,pedestrian,attr_err,0.10074079273565872
centerpoint_01voxel,motorcycle,AP_dist_0.5,0.4581555943434567
centerpoint_01voxel,motorcycle,AP_dist_1.0,0.5395950720224232
centerpoint_01voxel,motorcycle,AP_dist_2.0,0.5481090656371397
centerpoint_01voxel,motorcycle,AP_dist_4.0,0.5565331517305081
centerpoint_01voxel,motorcycle,trans_err,0.21246418082545843
centerpoint_01voxel,motorcycle,scale_err,0.23766206474575896
centerpoint_01voxel,motorcycle,orient_err,0.292586424942772
centerpoint_01voxel,motorcycle,vel_err,0.5233268878851308
centerpoint_01voxel,motorcycle,attr_err,0.26285276662339835
centerpoint_01voxel,bicycle,AP_dist_0.5,0.3377853465559396
centerpoint_01voxel,bicycle,AP_dist_1.0,0.3490847819231214
centerpoint_01voxel,bicycle,AP_dist_2.0,0.35008732061085857
centerpoint_01voxel,bicycle,AP_dist_4.0,0.3530569082332668
centerpoint_01voxel,bicycle,trans_err,0.16872760472427062
centerpoint_01voxel,bicycle,scale_err,0.26857638316429133
centerpoint_01voxel,bicycle,orient_err,0.4328038439295099
centerpoint_01voxel,bicycle,vel_err,0.22637176270463075
centerpoint_01voxel,bicycle,attr_err,0.017050488234293185
centerpoint_01voxel,traffic_cone,AP_dist_0.5,0.6035046467833336
centerpoint_01voxel,traffic_cone,AP_dist_1.0,0.623456723071635
centerpoint_01voxel,traffic_cone,AP_dist_2.0,0.6425455648920831
centerpoint_01voxel,traffic_cone,AP_dist_4.0,0.681371851277091
centerpoint_01voxel,traffic_cone,trans_err,0.16174921099564304
centerpoint_01voxel,traffic_cone,scale_err,0.34190515096477736
centerpoint_01voxel,traffic_cone,orient_err,
centerpoint_01voxel,traffic_cone,vel_err,
centerpoint_01voxel,traffic_cone,attr_err,
centerpoint_01voxel,barrier,AP_dist_0.5,0.5428766070737799
centerpoint_01voxel,barrier,AP_dist_1.0,0.663681990733506
centerpoint_01voxel,barrier,AP_dist_2.0,0.6951380947629754
centerpoint_01voxel,barrier,AP_dist_4.0,0.708938954825582
centerpoint_01voxel,barrier,trans_err,0.22967330089538948
centerpoint_01voxel,barrier,scale_err,0.27650219076822335
centerpoint_01voxel,barrier,orient_err,0.0700151155676934
centerpoint_01voxel,barrier,vel_err,
centerpoint_01voxel,barrier,attr_err,
centerpointpillars,car,AP_dist_0.5,0.7280927365295807
centerpointpillars,car,AP_dist_1.0,0.8441968430546832
centerpointpillars,car,AP_dist_2.0,0.8789914055948391
centerpointpillars,car,AP_dist_4.0,0.8918111026121793
centerpointpillars,car,trans_err,0.1928058378002542
centerpointpillars,car,scale_err,0.15590268104215188
centerpointpillars,car,orient_err,0.16519371090760465
centerpointpillars,car,vel_err,0.31188098304605844
centerpointpillars,car,attr_err,0.20159461625403866
centerpointpillars,truck,AP_dist_0.5,0.3025302670990107
centerpointpillars,truck,AP_dist_1.0,0.4755885778973284
centerpointpillars,truck,AP_dist_2.0,0.5570847417522117
centerpointpillars,truck,AP_dist_4.0,0.5922538684672338
centerpointpillars,truck,trans_err,0.34978956269904077
centerpointpillars,truck,scale_err,0.19322254862177807
centerpointpillars,truck,orient_err,0.15773447096809157
centerpointpillars,truck,vel_err,0.32081488793497204
centerpointpillars,truck,attr_err,0.24002569116810613
centerpointpillars,bus,AP_dist_0.5,0.3462768813470314
centerpointpillars,bus,AP_dist_1.0,0.5900283861637144
centerpointpillars,bus,AP_dist_2.0,0.7293441054473874
centerpointpillars,bus,AP_dist_4.0,0.7568398028676296
centerpointpillars,bus,trans_err,0.3783662993072627
centerpointpillars,bus,scale_err,0.18914411650511934
centerpointpillars,bus,orient_err,0.1005390345975689
centerpointpillars,bus,vel_err,0.6450577749425646
centerpointpillars,bus,attr_err,0.3052861309383266
centerpointpillars,trailer,AP_dist_0.5,0.08833742580339164
centerpointpillars,trailer,AP_dist_1.0,0.2761678388616252
centerpointpillars,trailer,AP_dist_2.0,0.42640729194766197
centerpointpillars,trailer,AP_dist_4.0,0.5051533838739218
centerpointpillars,trailer,trans_err,0.5438016109723596
centerpointpillars,trailer,scale_err,0.2151265464017219
centerpointpillars,trailer,orient_err,0.4652754592167928
centerpointpillars,trailer,vel_err,0.21620291586243243
centerpointpillars,trailer,attr_err,0.15038965254927344
centerpointpillars,construction_vehicle,AP_dist_0.5,0.008109638264352384
centerpointpillars,construction_vehicle,AP_dist_1.0,0.0708737755887208
centerpointpillars,construction_vehicle,AP_dist_2.0,0.14150636809341377
